"ID"	"Description"
"GO:0060070"	"canonical Wnt signaling pathway"
"GO:0051649"	"establishment of localization in cell"
"GO:0051091"	"positive regulation of DNA-binding transcription factor activity"
"GO:0007160"	"cell-matrix adhesion"
"GO:0050729"	"positive regulation of inflammatory response"
"GO:1990830"	"cellular response to leukemia inhibitory factor"
"GO:0001764"	"neuron migration"
"GO:0090263"	"positive regulation of canonical Wnt signaling pathway"
"GO:0006805"	"xenobiotic metabolic process"
"GO:0007049"	"cell cycle"
"GO:0006979"	"response to oxidative stress"
"GO:0007219"	"Notch signaling pathway"
"GO:0006470"	"protein dephosphorylation"
"GO:0034220"	"monoatomic ion transmembrane transport"
"GO:0042593"	"glucose homeostasis"
"GO:0006935"	"chemotaxis"
"GO:0051056"	"regulation of small GTPase mediated signal transduction"
"GO:0050830"	"defense response to Gram-positive bacterium"
"GO:0043065"	"positive regulation of apoptotic process"
"GO:0034765"	"regulation of monoatomic ion transmembrane transport"
"GO:0008104"	"protein localization"
"GO:0001501"	"skeletal system development"
"GO:0008283"	"cell population proliferation"
"GO:0000226"	"microtubule cytoskeleton organization"
"GO:0000209"	"protein polyubiquitination"
"GO:0009653"	"anatomical structure morphogenesis"
"GO:0071356"	"cellular response to tumor necrosis factor"
"GO:0071805"	"potassium ion transmembrane transport"
"GO:0090090"	"negative regulation of canonical Wnt signaling pathway"
"GO:0043547"	"positive regulation of GTPase activity"
"GO:0007605"	"sensory perception of sound"
"GO:0030182"	"neuron differentiation"
"GO:0006468"	"protein phosphorylation"
"GO:0035556"	"intracellular signal transduction"
"GO:0007420"	"brain development"
"GO:0006397"	"mRNA processing"
"GO:0042981"	"regulation of apoptotic process"
"GO:0043123"	"positive regulation of canonical NF-kappaB signal transduction"
"GO:0055085"	"transmembrane transport"
"GO:0007268"	"chemical synaptic transmission"
"GO:0006366"	"transcription by RNA polymerase II"
"GO:0007267"	"cell-cell signaling"
"GO:0009410"	"response to xenobiotic stimulus"
"GO:0045087"	"innate immune response"
"GO:0006974"	"DNA damage response"
"GO:0016310"	"phosphorylation"
"GO:0051301"	"cell division"
"GO:0006955"	"immune response"
"GO:0007283"	"spermatogenesis"
