ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
208863_s_at	2.40e-02	1.06e-02	2.60037	-4.1181384	0.2006752	SRSF1	serine and arginine rich splicing factor 1
211082_x_at	3.29e-05	7.84e-06	4.694991	2.6703487	0.2006576	MARK2	microtubule affinity regulating kinase 2
211320_s_at	7.99e-03	3.12e-03	3.023732	-3.0029462	0.2006437	PTPRU	protein tyrosine phosphatase, receptor type U
202720_at	2.56e-02	1.14e-02	2.572682	-4.1859579	0.2006208	TES	testin LIM domain protein
201119_s_at	1.88e-02	8.06e-03	2.699329	-3.8705287	0.2005496	COX8A	cytochrome c oxidase subunit 8A
207573_x_at	1.31e-02	5.43e-03	2.837588	-3.5111151	0.2005462	ATP5L	ATP synthase, H+ transporting, mitochondrial Fo complex subunit G
215873_x_at	9.48e-05	2.46e-05	4.408611	1.5705911	0.2005178	ABCC10	ATP binding cassette subfamily C member 10
213409_s_at	2.43e-02	1.08e-02	2.595079	-4.1311483	0.200457	RHEB	Ras homolog enriched in brain
211194_s_at	4.40e-02	2.10e-02	2.341236	-4.7275024	0.200394	TP63	tumor protein p63
206478_at	1.97e-02	8.52e-03	2.679559	-3.920644	0.2003684	FAM30A	family with sequence similarity 30, member A
202842_s_at	7.54e-02	3.90e-02	2.089049	-5.2648108	0.2002893	DNAJB9	DnaJ heat shock protein family (Hsp40) member B9
208909_at	6.29e-02	3.18e-02	2.175373	-5.0871863	0.2002474	UQCRFS1	ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1
200869_at	4.53e-02	2.18e-02	2.327126	-4.7590329	0.2002354	SNORA68///RPL18A	small nucleolar RNA, H/ACA box 68///ribosomal protein L18a
209528_s_at	3.16e-04	9.04e-05	4.06755	0.3244848	0.2001013	TELO2	telomere maintenance 2
219130_at	9.63e-02	5.18e-02	1.96682	-5.5049331	0.2000939	TRMT13	tRNA methyltransferase 13 homolog
201078_at	4.66e-02	2.25e-02	2.314307	-4.7875302	0.2000462	TM9SF2	transmembrane 9 superfamily member 2
214121_x_at	2.51e-03	8.68e-04	3.425479	-1.8148984	0.1999955	PDLIM7	PDZ and LIM domain 7
219294_at	9.16e-04	2.88e-04	3.747646	-0.7767413	0.1999592	CENPQ	centromere protein Q
213360_s_at	2.35e-04	6.54e-05	4.153957	0.6333578	0.1998986	POM121C///POM121	POM121 transmembrane nucleoporin C///POM121 transmembrane nucleoporin
207819_s_at	2.41e-03	8.29e-04	3.439076	-1.7725827	0.199892	ABCB4	ATP binding cassette subfamily B member 4
218122_s_at	5.04e-04	1.51e-04	3.928763	-0.1615891	0.1998637	SENP2	SUMO1/sentrin/SMT3 specific peptidase 2
209954_x_at	6.94e-04	2.13e-04	3.832727	-0.4905174	0.1998205	SS18	SS18, nBAF chromatin remodeling complex subunit
209316_s_at	4.23e-02	2.02e-02	2.357999	-4.6898177	0.1998161	HBS1L	HBS1 like translational GTPase
212858_at	1.37e-04	3.66e-05	4.306384	1.1896077	0.1998114	PAQR4	progestin and adipoQ receptor family member 4
209259_s_at	1.35e-01	7.64e-02	1.788789	-5.830481	0.1995662	SMC3	structural maintenance of chromosomes 3
203713_s_at	2.45e-02	1.09e-02	2.590518	-4.1423437	0.1994707	LLGL2	LLGL2, scribble cell polarity complex component
201271_s_at	1.23e-02	5.03e-03	2.863754	-3.4413503	0.1994637	RALY	RALY heterogeneous nuclear ribonucleoprotein
213789_at	5.04e-02	2.47e-02	2.27788	-4.867729	0.1994261	EBP	emopamil binding protein (sterol isomerase)
211712_s_at	9.14e-04	2.87e-04	3.74825	-0.7747271	0.1993517	ANXA9	annexin A9
209180_at	3.24e-02	1.49e-02	2.473446	-4.4237346	0.199322	RABGGTB	Rab geranylgeranyltransferase beta subunit
218737_at	1.66e-04	4.50e-05	4.252198	0.9902283	0.199262	SBNO1	strawberry notch homolog 1
221042_s_at	5.18e-02	2.54e-02	2.265873	-4.8939092	0.1992618	CLMN	calmin
206247_at	3.96e-02	1.87e-02	2.38707	-4.623893	0.1992581	MICB	MHC class I polypeptide-related sequence B
209599_s_at	1.01e-03	3.19e-04	3.718405	-0.8739695	0.1992257	PRUNE1	prune exopolyphosphatase
202139_at	9.26e-02	4.94e-02	1.987027	-5.4661637	0.199026	AKR7A2	aldo-keto reductase family 7 member A2
210178_x_at	1.05e-02	4.24e-03	2.921512	-3.2854129	0.1989901	SRSF10	serine and arginine rich splicing factor 10
201680_x_at	7.46e-04	2.30e-04	3.810678	-0.5651653	0.1989337	SRRT	serrate, RNA effector molecule
218294_s_at	2.97e-02	1.35e-02	2.510388	-4.3361923	0.1988951	NUP50	nucleoporin 50
218074_at	2.16e-02	9.43e-03	2.643062	-4.0123127	0.198832	FAM96B	family with sequence similarity 96 member B
211620_x_at	1.06e-07	1.57e-08	6.11314	8.720626	0.1987023	LOC101928269///LOC100506403///RUNX1	uncharacterized LOC101928269///uncharacterized LOC100506403///runt related transcription factor 1
202703_at	4.14e-04	1.21e-04	3.987602	0.0429536	0.1985484	DUSP11	dual specificity phosphatase 11
209999_x_at	3.37e-02	1.56e-02	2.457319	-4.4615902	0.1984412	SOCS1	suppressor of cytokine signaling 1
222309_at	5.67e-03	2.13e-03	3.14641	-2.6531659	0.1983631	C6orf62	chromosome 6 open reading frame 62
203781_at	2.44e-03	8.41e-04	3.434839	-1.7857834	0.1983406	MRPL33	mitochondrial ribosomal protein L33
208826_x_at	2.88e-03	1.01e-03	3.378328	-1.9605968	0.1983318	HINT1	histidine triad nucleotide binding protein 1
203557_s_at	2.92e-02	1.33e-02	2.517314	-4.319649	0.1981746	PCBD1	pterin-4 alpha-carbinolamine dehydratase 1
208841_s_at	1.41e-02	5.89e-03	2.809602	-3.5851207	0.1981209	G3BP2	G3BP stress granule assembly factor 2
202400_s_at	4.99e-05	1.23e-05	4.584129	2.2390652	0.1979761	SRF	serum response factor
208746_x_at	1.84e-02	7.91e-03	2.70603	-3.8534701	0.1979666	ATP5L	ATP synthase, H+ transporting, mitochondrial Fo complex subunit G
214404_x_at	5.47e-03	2.05e-03	3.158638	-2.6176634	0.1978349	SPDEF	SAM pointed domain containing ETS transcription factor
205453_at	7.73e-02	4.01e-02	2.077315	-5.2884423	0.1976835	HOXB2	homeobox B2
214087_s_at	1.33e-01	7.49e-02	1.79819	-5.8140161	0.1976443	MYBPC1	myosin binding protein C, slow type
218274_s_at	7.53e-04	2.33e-04	3.807642	-0.5754173	0.1975576	ANKZF1	ankyrin repeat and zinc finger domain containing 1
AFFX-HSAC07/X00351_M_at	1.29e-02	5.29e-03	2.846164	-3.4883091	0.1975456	ACTB	actin beta
202216_x_at	1.84e-03	6.17e-04	3.527358	-1.494569	0.1975051	NFYC	nuclear transcription factor Y subunit gamma
221804_s_at	1.98e-02	8.55e-03	2.678538	-3.9232236	0.1974698	FAM45A///FAM45BP	family with sequence similarity 45 member A///family with sequence similarity 45, member A pseudogene
210235_s_at	7.08e-03	2.73e-03	3.067534	-2.879397	0.1974632	PPFIA1	PTPRF interacting protein alpha 1
209194_at	1.34e-01	7.60e-02	1.791296	-5.8260977	0.197434	CETN2	centrin 2
214548_x_at	1.38e-03	4.51e-04	3.61913	-1.1996547	0.1973701	GNAS	GNAS complex locus
221090_s_at	1.21e-03	3.91e-04	3.660512	-1.0647297	0.1973357	OGFOD1	2-oxoglutarate and iron dependent oxygenase domain containing 1
203840_at	2.04e-03	6.90e-04	3.494132	-1.5998601	0.1973346	BLZF1	basic leucine zipper nuclear factor 1
204166_at	4.78e-03	1.77e-03	3.206237	-2.4783865	0.1973192	SBNO2	strawberry notch homolog 2
203203_s_at	3.45e-02	1.60e-02	2.447299	-4.4849977	0.1972826	KRR1	KRR1, small subunit processome component homolog
202438_x_at	7.99e-02	4.17e-02	2.061133	-5.3208319	0.1972564	IDS	iduronate 2-sulfatase
221247_s_at	5.84e-04	1.77e-04	3.884566	-0.3137291	0.1972423	RCC1L	RCC1 like
219193_at	2.45e-04	6.87e-05	4.140982	0.586675	0.1972385	WDR70	WD repeat domain 70
218947_s_at	3.03e-02	1.39e-02	2.501695	-4.356897	0.1972288	MTPAP	mitochondrial poly(A) polymerase
200695_at	7.92e-03	3.09e-03	3.02696	-2.9938926	0.1971437	PPP2R1A	protein phosphatase 2 scaffold subunit Aalpha
214209_s_at	9.71e-04	3.07e-04	3.729669	-0.8365859	0.1971378	ABCB9	ATP binding cassette subfamily B member 9
219696_at	4.68e-02	2.26e-02	2.312639	-4.7912269	0.1970567	DENND1B	DENN domain containing 1B
221525_at	4.22e-03	1.54e-03	3.249605	-2.3499915	0.196875	ZMIZ2	zinc finger MIZ-type containing 2
204693_at	5.20e-02	2.56e-02	2.263957	-4.8980762	0.1968296	CDC42EP1	CDC42 effector protein 1
204710_s_at	1.01e-02	4.05e-03	2.936475	-3.2445821	0.1968041	WIPI2	WD repeat domain, phosphoinositide interacting 2
211300_s_at	1.35e-03	4.40e-04	3.625804	-1.1779783	0.1966477	TP53	tumor protein p53
201246_s_at	3.81e-03	1.38e-03	3.28413	-2.2467634	0.1966132	LOC101927673///OTUB1	uncharacterized LOC101927673///OTU deubiquitinase, ubiquitin aldehyde binding 1
200858_s_at	1.42e-03	4.66e-04	3.609426	-1.2311222	0.1965907	SNORD38B///SNORD55///RPS8	small nucleolar RNA, C/D box 38B///small nucleolar RNA, C/D box 55///ribosomal protein S8
205506_at	8.73e-02	4.62e-02	2.016809	-5.4083501	0.1965661	VIL1	villin 1
203385_at	7.98e-03	3.11e-03	3.024204	-3.0016221	0.19654	DGKA	diacylglycerol kinase alpha
209431_s_at	1.62e-02	6.85e-03	2.756827	-3.7229523	0.1964969	PATZ1	POZ/BTB and AT hook containing zinc finger 1
221587_s_at	1.90e-04	5.21e-05	4.213814	0.8500836	0.196376	C19orf24	chromosome 19 open reading frame 24
219538_at	1.21e-04	3.19e-05	4.341454	1.3196037	0.1963728	WDR5B	WD repeat domain 5B
213610_s_at	1.13e-02	4.58e-03	2.895442	-3.3561276	0.1963726	PHOSPHO2-KLHL23///KLHL23	PHOSPHO2-KLHL23 readthrough///kelch like family member 23
211047_x_at	2.30e-02	1.01e-02	2.616745	-4.0777265	0.1963401	AP2S1	adaptor related protein complex 2 sigma 1 subunit
209947_at	2.04e-04	5.62e-05	4.193872	0.7776305	0.1963093	UBAP2L	ubiquitin associated protein 2 like
202374_s_at	1.11e-03	3.56e-04	3.686848	-0.9782418	0.1962872	RAB3GAP2///AURKAPS1	RAB3 GTPase activating non-catalytic protein subunit 2///aurora kinase A pseudogene 1
213492_at	2.23e-02	9.78e-03	2.629855	-4.0452124	0.1962757	COL2A1	collagen type II alpha 1 chain
206837_at	1.40e-03	4.57e-04	3.615337	-1.2119634	0.1962127	ALX1	ALX homeobox 1
200713_s_at	4.22e-03	1.54e-03	3.249142	-2.35137	0.1961914	MAPRE1	microtubule associated protein RP/EB family member 1
204398_s_at	5.54e-03	2.08e-03	3.154646	-2.6292653	0.1961821	EML2	echinoderm microtubule associated protein like 2
203014_x_at	1.10e-03	3.53e-04	3.689851	-0.9683474	0.1961627	SGSM3	small G protein signaling modulator 3
218395_at	1.65e-01	9.74e-02	1.672068	-6.0281158	0.1961439	ACTR6	ARP6 actin-related protein 6 homolog
220448_at	2.06e-04	5.66e-05	4.191995	0.7708248	0.1960663	KCNK12	potassium two pore domain channel subfamily K member 12
209495_at	2.12e-06	4.00e-07	5.398224	5.5562051	0.1960524	CEP250	centrosomal protein 250
204725_s_at	7.86e-02	4.09e-02	2.069013	-5.3050881	0.1960419	NCK1	NCK adaptor protein 1
215905_s_at	2.40e-03	8.28e-04	3.439672	-1.7707243	0.1959336	SNRNP40	small nuclear ribonucleoprotein U5 subunit 40
219329_s_at	2.00e-02	8.68e-03	2.672882	-3.9374973	0.1959007	ATRAID	all-trans retinoic acid induced differentiation factor
207528_s_at	1.60e-02	6.78e-03	2.760608	-3.7131512	0.1958847	SLC7A11	solute carrier family 7 member 11
35179_at	5.11e-05	1.26e-05	4.57775	2.2144604	0.195858	B3GAT3	beta-1,3-glucuronyltransferase 3
201072_s_at	8.28e-03	3.24e-03	3.010924	-3.0387878	0.1958362	SMARCC1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 1
205808_at	1.27e-02	5.24e-03	2.849823	-3.4785614	0.1958052	ASPH	aspartate beta-hydroxylase
206669_at	7.32e-04	2.25e-04	3.816776	-0.5445526	0.1957925	GAD1	glutamate decarboxylase 1
201218_at	6.93e-02	3.55e-02	2.129597	-5.1822006	0.195762	CTBP2	C-terminal binding protein 2
32723_at	2.71e-04	7.66e-05	4.111781	0.4820041	0.1957422	CSTF1	cleavage stimulation factor subunit 1
221536_s_at	1.54e-02	6.47e-03	2.776921	-3.6707387	0.1957081	LSG1	large 60S subunit nuclear export GTPase 1
213905_x_at	1.86e-01	1.13e-01	1.599525	-6.1445665	0.195697	BGN	biglycan
207401_at	3.22e-03	1.15e-03	3.340161	-2.0773386	0.195675	PROX1	prospero homeobox 1
204669_s_at	1.18e-02	4.81e-03	2.878435	-3.4019673	0.1956395	RNF24	ring finger protein 24
211767_at	1.38e-04	3.69e-05	4.303857	1.1802706	0.1956198	GINS4	GINS complex subunit 4
206653_at	6.31e-04	1.92e-04	3.861429	-0.3928565	0.1955803	POLR3G	RNA polymerase III subunit G
218769_s_at	4.87e-02	2.37e-02	2.294353	-4.8316033	0.1955234	ANKRA2	ankyrin repeat family A member 2
202486_at	4.80e-03	1.78e-03	3.204232	-2.4842878	0.1954538	AFG3L2	AFG3 like matrix AAA peptidase subunit 2
218680_x_at	6.24e-02	3.15e-02	2.179497	-5.0785361	0.1954389	SERF2-C15ORF63///MIR1282///HYPK///SERF2	SERF2-C15orf63 readthrough///microRNA 1282///huntingtin interacting protein K///small EDRK-rich factor 2
AFFX-r2-Hs28SrRNA-M_at	1.08e-01	5.90e-02	1.908252	-5.6152193	0.1954213		
218812_s_at	4.16e-03	1.52e-03	3.254498	-2.3354157	0.1953972	ORAI2	ORAI calcium release-activated calcium modulator 2
211851_x_at	1.22e-05	2.68e-06	4.955277	3.7092465	0.1953531	BRCA1	BRCA1, DNA repair associated
201640_x_at	1.28e-05	2.82e-06	4.943136	3.6599893	0.1952182	CLPTM1	CLPTM1, transmembrane protein
214145_s_at	1.27e-02	5.23e-03	2.850182	-3.4776041	0.1952079	SPTB	spectrin beta, erythrocytic
220603_s_at	5.98e-03	2.26e-03	3.127696	-2.7072749	0.1951391	MCTP2	multiple C2 and transmembrane domain containing 2
202381_at	2.02e-01	1.24e-01	1.548335	-6.2237741	0.1951112	ADAM9	ADAM metallopeptidase domain 9
213178_s_at	1.10e-02	4.44e-03	2.905967	-3.3276452	0.1951062	MAPK8IP3	mitogen-activated protein kinase 8 interacting protein 3
205457_at	4.77e-04	1.42e-04	3.945527	-0.1035426	0.1950525	C6orf106	chromosome 6 open reading frame 106
218848_at	1.20e-02	4.89e-03	2.87347	-3.4153065	0.1950386	THOC6	THO complex 6
213230_at	7.34e-02	3.79e-02	2.101911	-5.238765	0.1950385	CDR2L	cerebellar degeneration related protein 2 like
212689_s_at	8.73e-02	4.62e-02	2.016923	-5.4081273	0.1950304	KDM3A	lysine demethylase 3A
220441_at	6.98e-04	2.14e-04	3.830914	-0.4966672	0.1950019	DNAJC22	DnaJ heat shock protein family (Hsp40) member C22
216969_s_at	4.50e-05	1.10e-05	4.610996	2.3429505	0.1949906	KIF22	kinesin family member 22
201267_s_at	1.36e-02	5.61e-03	2.826135	-3.5414776	0.1949808	PSMC3	proteasome 26S subunit, ATPase 3
217166_at	1.08e-04	2.84e-05	4.371376	1.4310967	0.1949759		
202321_at	5.61e-03	2.11e-03	3.149951	-2.6428967	0.1949684	GGPS1	geranylgeranyl diphosphate synthase 1
220246_at	2.27e-02	9.96e-03	2.623383	-4.0612804	0.1949675	CAMK1D	calcium/calmodulin dependent protein kinase ID
217733_s_at	7.93e-03	3.09e-03	3.026638	-2.9947957	0.1949121	TMSB10	thymosin beta 10
217899_at	3.13e-04	8.96e-05	4.069681	0.332044	0.1949079	TMEM214	transmembrane protein 214
204337_at	9.50e-02	5.10e-02	1.973759	-5.4916613	0.1948824	RGS4	regulator of G-protein signaling 4
220377_at	2.53e-03	8.78e-04	3.422007	-1.8256832	0.1948198	FAM30A	family with sequence similarity 30, member A
218579_s_at	3.66e-03	1.32e-03	3.29785	-2.2054927	0.1948003	DHX35	DEAH-box helicase 35
203460_s_at	3.62e-02	1.69e-02	2.426742	-4.532753	0.1947877	PSEN1	presenilin 1
204827_s_at	1.39e-06	2.53e-07	5.501856	6.0016397	0.1947778	CCNF	cyclin F
205205_at	8.65e-03	3.40e-03	2.994716	-3.0839638	0.194772	RELB	RELB proto-oncogene, NF-kB subunit
214140_at	9.70e-04	3.07e-04	3.729888	-0.8358597	0.1947425	SLC25A16	solute carrier family 25 member 16
208249_s_at	1.46e-04	3.92e-05	4.288031	1.1218787	0.1947355	TGDS	TDP-glucose 4,6-dehydratase
203653_s_at	5.80e-03	2.19e-03	3.138591	-2.6758039	0.1946539	COIL	coilin
200821_at	1.17e-01	6.51e-02	1.863149	-5.6980245	0.1945994	LAMP2	lysosomal associated membrane protein 2
214959_s_at	7.75e-04	2.40e-04	3.79895	-0.6047364	0.1944796	API5	apoptosis inhibitor 5
218442_at	1.62e-05	3.65e-06	4.881073	3.4094048	0.1943526	TTC4	tetratricopeptide repeat domain 4
216005_at	2.21e-01	1.39e-01	1.491669	-6.308579	0.1942756	TNC	tenascin C
219687_at	6.58e-03	2.51e-03	3.093831	-2.8045059	0.1941124	HHAT	hedgehog acyltransferase
218201_at	1.36e-02	5.62e-03	2.825263	-3.5437857	0.1939501	NDUFB2	NADH:ubiquinone oxidoreductase subunit B2
209404_s_at	5.79e-03	2.18e-03	3.139365	-2.6735671	0.1939277	TMED7-TICAM2///TMED7	TMED7-TICAM2 readthrough///transmembrane p24 trafficking protein 7
210296_s_at	8.79e-02	4.66e-02	2.013251	-5.4152981	0.1938226	PEX2	peroxisomal biogenesis factor 2
210015_s_at	2.47e-02	1.10e-02	2.58825	-4.147903	0.1937739	MAP2	microtubule associated protein 2
216194_s_at	9.77e-02	5.26e-02	1.959602	-5.5186934	0.1937505	TBCB	tubulin folding cofactor B
215395_x_at	9.91e-04	3.14e-04	3.723087	-0.8584428	0.1937379	PRSS3P2	protease, serine 3 pseudogene 2
218693_at	6.03e-02	3.03e-02	2.195556	-5.0447057	0.1937102	TSPAN15	tetraspanin 15
205085_at	2.25e-04	6.26e-05	4.165355	0.6744563	0.193673	ORC1	origin recognition complex subunit 1
201985_at	1.86e-03	6.23e-04	3.524098	-1.5049336	0.1936299	KIAA0196	KIAA0196
213167_s_at	6.02e-05	1.50e-05	4.533427	2.0441329	0.1935289	SLC5A3	solute carrier family 5 member 3
209837_at	2.75e-04	7.77e-05	4.108132	0.46896	0.1934228	AP4M1	adaptor related protein complex 4 mu 1 subunit
219662_at	2.46e-04	6.90e-05	4.139631	0.5818201	0.1933276	C2orf49	chromosome 2 open reading frame 49
205480_s_at	2.91e-02	1.32e-02	2.518669	-4.3164088	0.1932961	UGP2	UDP-glucose pyrophosphorylase 2
221255_s_at	2.82e-03	9.89e-04	3.385821	-1.9375516	0.193246	EMC6	ER membrane protein complex subunit 6
220954_s_at	5.16e-02	2.54e-02	2.267164	-4.8911015	0.1932242	MIR6840///STAG3L5P-PVRIG2P-PILRB///PILRB	microRNA 6840///STAG3L5P-PVRIG2P-PILRB readthrough///paired immunoglobin-like type 2 receptor beta
206317_s_at	7.77e-04	2.41e-04	3.798156	-0.6074107	0.193082	ABCB8	ATP binding cassette subfamily B member 8
202344_at	1.62e-02	6.85e-03	2.756856	-3.7228752	0.1930487	HSF1	heat shock transcription factor 1
207734_at	1.76e-02	7.49e-03	2.72542	-3.8038981	0.1930432	LAX1	lymphocyte transmembrane adaptor 1
211269_s_at	1.45e-03	4.76e-04	3.60349	-1.250338	0.1930268	IL2RA	interleukin 2 receptor subunit alpha
216493_s_at	1.06e-04	2.79e-05	4.376502	1.4502538	0.1930187	IGF2BP3	insulin like growth factor 2 mRNA binding protein 3
201444_s_at	7.73e-02	4.02e-02	2.076949	-5.2891781	0.1930127	ATP6AP2	ATPase H+ transporting accessory protein 2
202212_at	1.81e-03	6.06e-04	3.532482	-1.4782599	0.193005	PES1	pescadillo ribosomal biogenesis factor 1
219003_s_at	3.37e-02	1.56e-02	2.457773	-4.460528	0.1929621	MANEA	mannosidase endo-alpha
203246_s_at	1.43e-03	4.69e-04	3.607305	-1.2379923	0.1929287	NPRL2	NPR2-like, GATOR1 complex subunit
213801_x_at	2.23e-03	7.62e-04	3.464581	-1.6928397	0.192927	RPSAP19///RPSAP9///SNORA6///RPSAP58///SNORA62///RPSA	ribosomal protein SA pseudogene 19///ribosomal protein SA pseudogene 9///small nucleolar RNA, H/ACA box 6///ribosomal protein SA pseudogene 58///small nucleolar RNA, H/ACA box 62///ribosomal protein SA
200997_at	1.14e-02	4.65e-03	2.890241	-3.3701708	0.1928506	RBM14-RBM4///RBM4	RBM14-RBM4 readthrough///RNA binding motif protein 4
206688_s_at	2.38e-04	6.65e-05	4.149383	0.6168914	0.192841	CPSF4	cleavage and polyadenylation specific factor 4
210104_at	1.70e-03	5.68e-04	3.551601	-1.4172429	0.1928351	MED6	mediator complex subunit 6
204123_at	1.52e-05	3.41e-06	4.897327	3.474837	0.1927202	LIG3	DNA ligase 3
218575_at	2.27e-05	5.29e-06	4.791489	3.0512766	0.1926741	LOC730268///ANAPC1	anaphase-promoting complex subunit 1-like///anaphase promoting complex subunit 1
215093_at	9.11e-04	2.86e-04	3.749129	-0.7717938	0.1926602	NSDHL	NAD(P) dependent steroid dehydrogenase-like
208316_s_at	1.08e-04	2.85e-05	4.370947	1.4294964	0.1926459	OCRL	OCRL, inositol polyphosphate-5-phosphatase
204839_at	1.81e-02	7.76e-03	2.712817	-3.8361524	0.1924774	POP5	POP5 homolog, ribonuclease P/MRP subunit
216031_x_at	4.86e-04	1.45e-04	3.939817	-0.123335	0.1924	HN1L	hematological and neurological expressed 1 like
208879_x_at	2.53e-03	8.79e-04	3.421673	-1.8267187	0.1923973	PRPF6	pre-mRNA processing factor 6
205302_at	1.68e-01	9.91e-02	1.663278	-6.042488	0.1923711	IGFBP1	insulin like growth factor binding protein 1
202843_at	2.02e-01	1.24e-01	1.549483	-6.2220244	0.1923537	DNAJB9	DnaJ heat shock protein family (Hsp40) member B9
206206_at	4.43e-03	1.63e-03	3.232252	-2.4015357	0.1923478	CD180	CD180 molecule
211542_x_at	9.65e-04	3.05e-04	3.731467	-0.8306093	0.192323	RPS10	ribosomal protein S10
206845_s_at	5.89e-05	1.47e-05	4.539629	2.0678991	0.1922755	RNF40	ring finger protein 40
201679_at	2.28e-05	5.31e-06	4.790525	3.0474458	0.1922692	SRRT	serrate, RNA effector molecule
211182_x_at	7.48e-05	1.90e-05	4.47354	1.8157912	0.19218	LOC101928269///LOC100506403///RUNX1	uncharacterized LOC101928269///uncharacterized LOC100506403///runt related transcription factor 1
200774_at	1.08e-02	4.35e-03	2.912948	-3.3087015	0.1921379	FAM120A	family with sequence similarity 120A
218664_at	8.22e-07	1.43e-07	5.630724	6.5621353	0.1921244	MECR	mitochondrial trans-2-enoyl-CoA reductase
212507_at	4.20e-02	2.00e-02	2.361227	-4.6825342	0.1921213	TMEM131	transmembrane protein 131
208636_at	3.15e-02	1.44e-02	2.485906	-4.3943366	0.1919864	ACTN1	actinin alpha 1
205796_at	7.69e-04	2.38e-04	3.801042	-0.5976841	0.191964	TCP11L1	t-complex 11 like 1
201630_s_at	2.63e-02	1.18e-02	2.561855	-4.2123035	0.1918997	ACP1	acid phosphatase 1, soluble
215224_at	9.09e-05	2.35e-05	4.419827	1.6127705	0.1916687	SNORA21	small nucleolar RNA, H/ACA box 21
213889_at	1.21e-05	2.66e-06	4.956465	3.7140697	0.1916326	PIGL	phosphatidylinositol glycan anchor biosynthesis class L
209150_s_at	9.82e-03	3.92e-03	2.94797	-3.2130919	0.1915761	IPO4///TM9SF1	importin 4///transmembrane 9 superfamily member 1
209633_at	1.78e-03	5.96e-04	3.537211	-1.4631936	0.1914816	PPP2R3A	protein phosphatase 2 regulatory subunit B''alpha
218347_at	9.42e-04	2.97e-04	3.739024	-0.8054695	0.1912768	TYW1	tRNA-yW synthesizing protein 1 homolog
219880_at	1.47e-02	6.14e-03	2.79498	-3.6235362	0.1912675	CTC-338M12.4	uncharacterized LOC101928649
222192_s_at	2.07e-04	5.72e-05	4.189438	0.7615547	0.1912536	LDAH	lipid droplet associated hydrolase
200786_at	7.09e-03	2.73e-03	3.067244	-2.880219	0.1912053	PSMB7	proteasome subunit beta 7
206194_at	5.73e-05	1.42e-05	4.54695	2.0959809	0.1910489	HOXC4	homeobox C4
217870_s_at	5.67e-02	2.83e-02	2.223318	-4.9856891	0.1910315	CMPK1	cytidine/uridine monophosphate kinase 1
219399_at	2.18e-02	9.54e-03	2.639122	-4.0221434	0.1909265	LIN7C	lin-7 homolog C, crumbs cell polarity complex component
209665_at	3.15e-03	1.12e-03	3.347977	-2.0535197	0.1908333	CYB561D2	cytochrome b561 family member D2
57540_at	5.66e-03	2.13e-03	3.146671	-2.6524091	0.1907974	RBKS	ribokinase
210376_x_at	7.53e-05	1.92e-05	4.471855	1.8093992	0.1907484	ELK1	ELK1, ETS transcription factor
205054_at	8.88e-02	4.71e-02	2.00782	-5.4258832	0.1906595	NEB	nebulin
222379_at	5.26e-02	2.59e-02	2.258606	-4.9096949	0.1906511	KCNE4	potassium voltage-gated channel subfamily E regulatory subunit 4
205248_at	8.81e-07	1.54e-07	5.613583	6.4871698	0.1905585	DOPEY2	dopey family member 2
200608_s_at	7.31e-02	3.77e-02	2.103813	-5.2349005	0.1905251	RAD21	RAD21 cohesin complex component
208908_s_at	2.74e-02	1.23e-02	2.544844	-4.2534974	0.190466	CAST	calpastatin
209492_x_at	1.61e-02	6.80e-03	2.759331	-3.7164616	0.1904042	ATP5I	ATP synthase, H+ transporting, mitochondrial Fo complex subunit E
206703_at	4.41e-06	8.86e-07	5.215329	4.7820907	0.1903694	CHRNB1	cholinergic receptor nicotinic beta 1 subunit
209145_s_at	1.57e-05	3.54e-06	4.888566	3.4395519	0.1903384	CBFA2T2	CBFA2/RUNX1 translocation partner 2
203252_at	4.00e-02	1.90e-02	2.381885	-4.6357037	0.1903375	CDK2AP2	cyclin dependent kinase 2 associated protein 2
211804_s_at	1.37e-03	4.48e-04	3.62098	-1.1936497	0.1902682	CDK2	cyclin dependent kinase 2
203952_at	1.72e-05	3.89e-06	4.865463	3.3466932	0.1902174	ATF6	activating transcription factor 6
221194_s_at	1.04e-02	4.18e-03	2.92612	-3.272857	0.1901517	TBC1D3P1-DHX40P1///RNFT1	TBC1D3P1-DHX40P1 readthrough, transcribed pseudogene///ring finger protein, transmembrane 1
219543_at	1.48e-02	6.19e-03	2.792243	-3.6307051	0.1899954	PBLD	phenazine biosynthesis like protein domain containing
210453_x_at	2.78e-02	1.26e-02	2.538557	-4.2686611	0.1899788	ATP5L	ATP synthase, H+ transporting, mitochondrial Fo complex subunit G
213037_x_at	2.73e-03	9.55e-04	3.396523	-1.9045684	0.1899565	STAU1	staufen double-stranded RNA binding protein 1
218880_at	1.93e-01	1.18e-01	1.576693	-6.1801992	0.1899097	FOSL2	FOS like 2, AP-1 transcription factor subunit
213881_x_at	6.09e-07	1.04e-07	5.701813	6.8743608	0.1898758	LOC101929087///SUMO2///SUMO3	small ubiquitin-related modifier 2 pseudogene///small ubiquitin-like modifier 2///small ubiquitin-like modifier 3
200775_s_at	4.90e-03	1.82e-03	3.197386	-2.5044148	0.1898681	HNRNPK	heterogeneous nuclear ribonucleoprotein K
